Project name,Impact,SA scenario,Total
Tres Quebradas,Climate change,2035_BAT_Fuel mix_100CCS,3.876824150983108
Salar de Cauchari-Olaroz,Climate change,2035_BAT_Fuel mix_100CCS,3.7688260397342384
Pozuelos,Climate change,2035_BAT_Fuel mix_100CCS,34.76159623145347
Salar de Uyuni,Climate change,2035_BAT_Fuel mix_100CCS,20.264231876199684
Sal de los Angeles,Climate change,2035_BAT_Fuel mix_100CCS,26.938573671809298
Salar de Pastos Grandes,Climate change,2035_BAT_Fuel mix_100CCS,3.100867157814536
Sal de Vida,Climate change,2035_BAT_Fuel mix_100CCS,1.9288547523038742
Qinghai Yiliping,Climate change,2035_BAT_Fuel mix_100CCS,20.492620363442228
Chaerhan,Climate change,2035_BAT_Fuel mix_100CCS,21.335484700970856
Zhabuye,Water scarcity,2035_BAT_Fuel mix_100CCS,3.3943509650219403
Fenix,Water scarcity,2035_BAT_Fuel mix_100CCS,3.809818361907416
Upper Rhine Graben,Water scarcity,2035_BAT_Fuel mix_100CCS,0.9208325182771185
Salar de Arizaro,Water scarcity,2035_BAT_Fuel mix_100CCS,9.457042073167912
Salar de Centenario,Water scarcity,2035_BAT_Fuel mix_100CCS,4.1177298867892995
Kachi,Water scarcity,2035_BAT_Fuel mix_100CCS,5.645317911987234
Salar del Hombre Muerto North,Water scarcity,2035_BAT_Fuel mix_100CCS,2.1831994594850546
East Taijinar,Water scarcity,2035_BAT_Fuel mix_100CCS,6.59765918402152
Salar de Olaroz,Water scarcity,2035_BAT_Fuel mix_100CCS,2.044256541527013
Maricunga,Water scarcity,2035_BAT_Fuel mix_100CCS,15.719405310757718
Salar de Atacama,Water scarcity,2035_BAT_Fuel mix_100CCS,5.371798949205498
Lakkor Tso,Water scarcity,2035_BAT_Fuel mix_100CCS,9.412057438919632
Salar del Rincon,Water scarcity,2035_BAT_Fuel mix_100CCS,5.829291938347595
Silver Peak,Water scarcity,2035_BAT_Fuel mix_100CCS,3.465168397833707
Salar de Tolillar,Water scarcity,2035_BAT_Fuel mix_100CCS,5.1735166038264175
Tres Quebradas,Water scarcity,2035_BAT_Fuel mix_100CCS,7.55180160427425
Salar de Cauchari-Olaroz,Water scarcity,2035_BAT_Fuel mix_100CCS,1.5088659768688308
Pozuelos,Water scarcity,2035_BAT_Fuel mix_100CCS,16.437997463773964
Salar de Uyuni,Water scarcity,2035_BAT_Fuel mix_100CCS,7.562951430386416
Sal de los Angeles,Water scarcity,2035_BAT_Fuel mix_100CCS,4.8361089480741475
Salar de Pastos Grandes,Water scarcity,2035_BAT_Fuel mix_100CCS,11.280364443969743
Sal de Vida,Water scarcity,2035_BAT_Fuel mix_100CCS,1.0723828037646683
Qinghai Yiliping,Water scarcity,2035_BAT_Fuel mix_100CCS,8.252240011607789
Chaerhan,Water scarcity,2035_BAT_Fuel mix_100CCS,6.151247457315225
Zhabuye,Climate change,2035_BAT_Biomass_100CCS,1.6292733248458453
Fenix,Climate change,2035_BAT_Biomass_100CCS,18.784768421065742
Upper Rhine Graben,Climate change,2035_BAT_Biomass_100CCS,2.25969894077942
Salar de Arizaro,Climate change,2035_BAT_Biomass_100CCS,28.876518020122184
Salar de Centenario,Climate change,2035_BAT_Biomass_100CCS,18.27207475671536
